Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Chedraui,Precio Verduras Chedraui,Verduras Soriana,Precio Verduras Soriana,Verduras LaComer,Precio Verduras LaComer
,Cebolla Cambray,10.0,Papa Cambray por kg,32.9,Lechuga Romana,15.9,Pimiento Amarillo,84.9
,Acelga Verde,7.0,Aguacate Hass por Kg,39.9,Chile Serrano Kg,19.8,Berenjena,32.8
,Seasons Select Aguacate Malla,38.0,Tomates Constellation NatureSweet 467g,69.9,Chile Tajin Pasilla 75Gr,31.9,Tomate Verde Con Cascara,18.9
,Tomate Fresadilla 1 Kg,15.0,Coliflor Naranja 750g,99.0,Champiñon San Miguel Blanco Char 225 Gr,28.8,Poro,40.7
,Champinon Bco Reb De 225,23.0,Santa MaríaPieza,8.82,Champiñon San Miguel Seleccionado 225 Gr,27.8,Chile Cuaresmeño,20.9
,Chile Poblano 1 Kg,31.0,Pakchoypor Kg,55.5,Espinaca Mr Lucky Popeye,47.8,Pimiento Naranja,84.9
,Apio 1 Kg,20.5,Chalot Granel Kg,141.0,Champiñon Monte Bco Cha 225Gr,28.9,Camote Amarillo Nacional,74.6
,Pimiento Semaforo C/3,46.0,Bouquet Hierbas Finas frescas Tiempo de Cosecha 50g,22.9,Espinaca Baby Vegetalistos 250Gr,46.8,Chile Verde De Arbol,82.1
,Limon Amarillo ( Variedad Eureka) 1 Kg,62.0,Alfalfa fresca Tiempo de Cosecha 50g,22.9,Lechuga Eva Mini Romaine Bol 2Pz,32.9,Chile Habanero,62.7
,Mini Floretes De Brocoli,20.5,Estragón fresco Tiempo de Cosecha 50g,22.9,Champiñon Crimini Entero 225Gr,28.8,Pepino Criollo,5.5
,Perejil Liso,13.5,Bouquet Garni frescas Tiempo de Cosecha 50g,22.9,Soya Germinada Granel Kg,39.8,Chicharo,41.8
,Tomatillo Limpio 1 Kg,19.5,Bouquet Provence fresco Tiempo de Cosecha 50g,22.9,Lechuga Eva Boston Hidroponico Char,28.9,Cebolla De Rabo,32.2
,Chile Serrano 1 Kg,19.5,Árnica Infusiónate 40g,19.9,Ensalada Eva Francesa Corazon,31.9,Cremini Rebanado,25.9
,Aguacatito En Malla,26.0,Chícharo Fresh Garden Chino 365g,45.9,Corazon Lechuga 3 Pack Vf,29.8,Jitomate Cherry,30.3
,Esparrago 1Lb 1 Lb,72.0,Boldo Infusiónate 60g,26.9,Zanahoria Baby Vegetalistos 150Gr,14.8,Calabaza Criolla,33.6
,Cebolla Morada 1 Kg,24.0,Menta Infusiónate 45g,19.9,Zanahoria Rallada Vegetalistos 340 Gr,23.8,Papa Amarilla Chica,34.8
,Repollo Verde 1 Kg,14.0,Coliflor Verde 750g,99.0,Zanahoria Rallada Vegetalistos 100Gr,14.8,Pepino Europeo,30.3
,Chile Jalapeño 1 Kg,15.0,GordoloboPieza,8.82,Arúgula Vegetalistos 120Gr,34.8,Tomatillo Milpero,37.3
,S S Limon Agrio En Malla 1.5 Kg,54.5,Té de Limón Manojo por Pieza,5.2,Jícama Vegetalistos 454 Gr,32.8,Elote Blanco Entero Limpio,22.4
,Pimiento Verde 1 Kg,62.0,Ruda Pieza,4.4,Ensalada Súper Food Vegetalistos 200Gr,36.8,Portabella Entero,63.6
,Champinon Bco Entero De 225 Gr,23.0,HinojoPieza,8.5,Corazon Lechuga 2 Pack Vf,19.8,Elote Blanco En Trozos,22.4
,Lechuga Morada (Sangria) Nal,13.0,Col ChinaPieza,61.3,Ensalada Mr Lucky Festival Clas 312Gr,34.8,Tomatoes Cherubs,41.9
,Ajo Seasons Select Ajo 4Pzas,46.0,Col Morada por kg,39.0,Ensalada Mr Lucky Francesa,29.8,Ajo Shallot,39.8
,Betabel Rebotado 1 Kg,28.0,Flor de Calabazapor kg,102.0,Corazon De Lechuga Garden Fresh 4 Pieza Bolsa,34.9,Zanahoria Cambray,22.8
,Ajo En Malla,44.0,Verdolaga por kg,24.5,Champiñon Crimini Rebanado 225 Gr,28.8,Chayote Con Espinas,37.3
,Ejote Verde 1 Kg,51.0,Col Bruselas por kg,60.0,Kale Vegatalistos 150Gr,32.8,Cebolla Amarilla,27.6
,Palitos De Apio Heb 400 Gr,29.0,Raíz de Azafrán por kg,39.3,Champiñon Crimini Rebanado 250 Gr,29.8,Pepino Europeo,14.4
,Lechuga Italiana Nal,15.0,Jengibrepor kg,119.0,Guarnición De Verduras La Huerta 500 Gr,26.25,Tomatoes Glorys,41.9
,Floretes Brocoli En Bolsa 1Lb 454 Gr,23.0,Colinabo Rollo,19.33,Elote En Grano La Huerta 500 Gr,52.0,Chalot,164.2
,Champinon Bco Reb De 225 Gr,24.0,Poro Pieza,19.8,Papas A La Francesa Valley Farms Delgadas 1 Kg,60.25,Haba Verde,52.2
,Lechuga Hidroponica Francesa,31.0,Rábano Cambray Pieza,10.6,Floretes De Brócoli Congelado Soriana En 500 G,30.0,Ajo Italiano,201.5
,Ensalada Lechuga Hidroponica Italiana,31.0,Hoja Santa Rollo,12.0,Fresa Congelada Valley Foods,48.5,Camote Achicalado,87.0
,Champinon Cremini Reb De 225 Gr,23.0,Huazontle Rollo,19.0,Papa Grd A Cort Rizado 750G Valley Foods,46.0,Papa Criolla,25.8
,Tomate Cherubs 283 Gr,44.0,Manzanilla Rollo,11.6,Verduras Congeladas Mezcla California La Huerta 500 Gr,31.75,Chile Cristal,59.7
,Cebolla Amarilla 1 Kg,28.0,Hierbas de OlorPieza,12.3,Frutos Del Huerto La Huerta 500 Gr,26.5,Champiñon Blanco,89.9
,Camote Amarillo 1 Kg,48.0,Hierba Buena Rollo,7.9,Guarnicion Verduras Precissimo Bol 500Gr,18.9,Chile Manzano,77.6
,Vegetalistos Zanahoria Baby 340 Gr,23.0,Berros Rollo,15.0,Verdura Congelada Soriana Mezcla Campesina 500 G,29.5,Camote Blanco Nacional,74.6
,Champinon Cremini De 225 Gr,23.0,Espinacas Rollo,7.8,Verduras Congeladas Mezcla Juliana La Huerta 500 Gr,27.25,Chicharo Limpio,104.9
,Tomate D Glory 283 Gr,44.0,Perejil Chino Rollo,13.0,Papas A La Francesa Valley Farms Onduladas 500 G,49.5,Chayote Cambray,37.3
